Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
1,"GJ Masters, MB Pernia","Apparatus Using Time-Based Electrical Characteristics to Identify an Electrical Appliance",2014,"US Patent App. 13/887,307","Google Patents","https://patents.google.com/patent/US20140330444A1/en","https://scholar.google.com/scholar?cites=10545370317818452831&as_sdt=2005&sciodt=0,5&hl=en",198,"2020-01-11 14:06:34","","","","",,,,,1,0.17,1,2,6
46,"YJ Park, M Ravi, SM Seo, JH Shin","Apparatus and method for non-intrusive load monitoring (nilm)",2014,"US Patent App. 14/031,581","Google Patents","https://patents.google.com/patent/US20140142724A1/en","https://scholar.google.com/scholar?cites=10461667898106353255&as_sdt=2005&sciodt=0,5&hl=en",306,"2020-01-11 14:06:34","","","","",,,,,46,7.67,12,4,6
3,"C Jong-Woong, LEE Hyoseop","Apparatus, server, system and method for energy measuring",2019,"US Patent 10,254,319","Google Patents","https://patents.google.com/patent/US10254319B2/en","https://scholar.google.com/scholar?cites=10748416978639128244&as_sdt=2005&sciodt=0,5&hl=en",375,"2020-01-11 14:06:34","","","","",,,,,3,3.00,2,2,1
0,"M Kahl, T Kriechbaumer, D Jorde, AU Haq, ...","Appliance Event Detection--A Multivariate, Supervised Classification Approach",2019,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1904.11580","",281,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,5,1
0,"C Gogos, G Georgiou","Appliance Identification Through Nonintrusive Load Monitoring in Residences",2019,"… Intelligence and Optimization Methods for Control …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-25446-9_10","",58,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,2,1
0,"S Sen, F Lu","Appliance Level Energy Disaggregation",,"cs229.stanford.edu","","http://cs229.stanford.edu/proj2018/report/138.pdf","",62,"2020-01-11 14:06:34","PDF","","","",,,,,0,0.00,0,2,
6,"M Kahl, T Kriechbaumer, AU Haq, ...","Appliance classification across multiple high frequency energy datasets",2017,"… Conference on Smart …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8340664/","https://scholar.google.com/scholar?cites=1576000053854446056&as_sdt=2005&sciodt=0,5&hl=en",80,"2020-01-11 14:06:34","","","","",,,,,6,2.00,2,4,3
2,"PBM Martins, JGRC Gomes, ...","Application of a deep learning generative model to load disaggregation for industrial machinery power consumption monitoring",2018,"… for Smart Grids …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8587415/","https://scholar.google.com/scholar?cites=14539463526032651839&as_sdt=2005&sciodt=0,5&hl=en",68,"2020-01-11 14:06:34","","","","",,,,,2,1.00,1,3,2
24,"PPM do Nascimento","Applications of deep learning techniques on NILM",2016,"Diss. Universidade Federal do Rio de Janeiro","pee.ufrj.br","http://pee.ufrj.br/teses/textocompleto/2016041101.pdf","https://scholar.google.com/scholar?cites=14792845395938746511&as_sdt=2005&sciodt=0,5&hl=en",238,"2020-01-11 14:06:34","PDF","","","",,,,,24,6.00,24,1,4
1,"GA Raiker, BS Reddy, L Umanand, ...","Approach to Non-Intrusive Load Monitoring using Factorial Hidden Markov Model",2018,"2018 IEEE 13th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8721436/","https://scholar.google.com/scholar?cites=1858181103573825373&as_sdt=2005&sciodt=0,5&hl=en",257,"2020-01-11 14:06:34","","","","",,,,,1,0.50,0,4,2
0,"I Fiori, M Mujica, M Esteban","Aprendizaje e inteligencia computacional para la caracterización de consumo eléctrico en hogares.",2019,"","colibri.udelar.edu.uy","https://www.colibri.udelar.edu.uy/jspui/handle/20.500.12008/22908","",365,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,3,1
26,"J Alcalá, J Ureña, Á Hernández, D Gualda","Assessing human activity in elderly people using non-intrusive load monitoring",2017,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/17/2/351","https://scholar.google.com/scholar?cites=1829589405956888335&as_sdt=2005&sciodt=0,5&hl=en",242,"2020-01-11 14:06:34","","","","",,,,,26,8.67,7,4,3
7,"CM Micali, MS Phillips, VL MacAulay, ...","Assisted labeling of devices with disaggregation",2017,"US Patent …","Google Patents","https://patents.google.com/patent/US9691030B2/en","https://scholar.google.com/scholar?cites=10611221722069461742&as_sdt=2005&sciodt=0,5&hl=en",302,"2020-01-11 14:06:34","","","","",,,,,7,2.33,2,4,3
7,"D Mashima","Authenticated down-sampling for privacy-preserving energy usage data sharing",2015,"2015 IEEE International Conference on Smart …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7436367/","https://scholar.google.com/scholar?cites=3987926068296389720&as_sdt=2005&sciodt=0,5&hl=en",59,"2020-01-11 14:06:34","","","","",,,,,7,1.40,7,1,5
0,"A Sagarwala","Author Declaration",2015,"","digital.library.ryerson.ca","https://digital.library.ryerson.ca/islandora/object/RULA:4292/datastream/OBJ/download/Conceptual_Framework_for_Enhancing_Energy_Disaggregation_Using_Crowd_and_Context.pdf","",196,"2020-01-11 14:06:34","PDF","","","",,,,,0,0.00,0,1,5
14,"T Kriechbaumer, HA Jacobsen","BLOND, a building-level office environment dataset of typical electrical appliances",2018,"Scientific data","nature.com","https://www.nature.com/articles/sdata201848","https://scholar.google.com/scholar?cites=17026647840570702306&as_sdt=2005&sciodt=0,5&hl=en",151,"2020-01-11 14:06:34","HTML","","","",,,,,14,7.00,7,2,2
4,"M Kaselimi, N Doulamis, A Doulamis, ...","Bayesian-optimized Bidirectional LSTM Regression Model for Non-intrusive Load Monitoring",2019,"ICASSP 2019-2019 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8683110/","https://scholar.google.com/scholar?cites=5402200682346269532&as_sdt=2005&sciodt=0,5&hl=en",103,"2020-01-11 14:06:34","","","","",,,,,4,4.00,1,4,1
19,"C Shen, RP Singh, A Phanishayee, A Kansal, ...","Beam: Ending monolithic applications for connected devices",2016,"2016 {USENIX} Annual …","usenix.org","https://www.usenix.org/conference/atc16/technical-sessions/presentation/shen","https://scholar.google.com/scholar?cites=281348539856718048&as_sdt=2005&sciodt=0,5&hl=en",270,"2020-01-11 14:06:34","","","","",,,,,19,4.75,4,5,4
0,"Á Ibrain Rodríguez","Bernard, sistema inteligente de ahorro energético",2018,"","repositorio.unican.es","https://repositorio.unican.es/xmlui/handle/10902/15274","",269,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,1,2
2,"N Batra, M Gulati, P Jain, K Whitehouse, ...","Bits and Watts: Improving energy disaggregation performance using power line communication modems",2014,"Proceedings of the 1st …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2675039","https://scholar.google.com/scholar?cites=8666781596326238519&as_sdt=2005&sciodt=0,5&hl=en",52,"2020-01-11 14:06:34","","","","",,,,,2,0.33,0,5,6
2,"C Liu, Z Jiang, A Akintayo, GP Henze, ...","Building Energy Disaggregation using Spatiotemporal Pattern Network",2018,"2018 Annual American …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8431732/","https://scholar.google.com/scholar?cites=167787912718743870&as_sdt=2005&sciodt=0,5&hl=en",84,"2020-01-11 14:06:34","","","","",,,,,2,1.00,0,5,2
0,"T Zhang","Building Occupancy and Thermal Modelling in the Wild",2019,"","era.library.ualberta.ca","https://era.library.ualberta.ca/items/a1c649f3-852a-4847-ae51-eee680b8af1a","",219,"2020-01-11 14:06:34","","","","",,,,,0,0.00,0,1,1
